district_name,city,area_sqkm,total_road_length_km,road_density_km_per_sqkm
Douala 1er,Douala,32.05980442,265.02398771169203,8.266550358191239
Douala 2e,Douala,16.12294611,196.76399466791452,12.203972730881658
Douala 3e,Douala,167.40323908,1656.7422412056935,9.896715561244047
Douala 4e,Douala,204.00153055,508.58601230394544,2.493049983168106
Douala 5e,Douala,160.80450175,1124.2654657242967,6.991504923613228
Douala 6e,Douala,395.17514168,42.47188105370018,0.10747609496169303
Yaounde 1er,Yaounde,56.17916457,805.5421652156272,14.338806413041453
Yaounde 2e,Yaounde,22.95570172,188.87237667197314,8.227689093355806
Yaounde 3e,Yaounde,68.15909723,478.10841844961396,7.014594351745259
Yaounde 4e,Yaounde,58.799044,830.63952859358,14.126752274978825
Yaounde 5e,Yaounde,25.85118781,465.11091425476656,17.99185854333734
Yaounde 6e,Yaounde,22.15534857,318.46807125552857,14.37432005410911
Yaounde 7e,Yaounde,35.30821519,410.7116011350628,11.632182451731081
